ID_E,titre,anneedebut,moisdebut,jourdebut,anneefin,moisfin,jourfin,type,lieu,lieu_expo,lat,long,source,Citation catalogue
ID_E_9,Landscape in French Art,1949,12,10,1950,3,5,AFAA,Londres, Royal Academy of Arts,51.5092768,-0.1397381,"INHA, 8°V 59778","Landscape in French Art 1550-1900, Londres, The Shenval Press, London and Hertford, 1949."
ID_E_8,Gauguin. Exposition du Centenaire,1949,1,1,1949,12,31,simple,Paris, Orangerie des Tuileries,48.8637655,2.3226602,INHA 8 H 2430,"Gauguin. Exposition du Centenaire, [éditeur non précisé], 1949."
ID_E_7,"Foreningen Fransk Kunst, Gustave Courbet 1819-1877",1949,11,1,1949,12,1,AFAA,Copenhague, Statens Museum for Kunst,55.6887318,12.5783607,INHA P2 40 1949,"Foreningen Fransk Kunst, Gustave Courbet 1819-1877, Copenhague, Nielsen & Lydiche, 1949."
ID_E_6,Le dessin français de Fouquet à Cézanne,1949,11,1,1949,12,1,AFAA,Bruxelles, Palais des Beaux-Arts,50.8437182,4.3597904,"BnF, 8-V-59111","Le dessin français de Fouquet à Cézanne, Paris, Les Presses Artistiques, 1949."
ID_E_5,Paul Gauguin zum 100 Geburtsjahr,1949,11,26,1950,1,29,simple,Bâle, Kunstmuseum,47.5544072,7.5938445,Estampes YD2-1991-8 ,"Paul Gauguin zum 100 Geburtsjahr, Bâle, Karl Werner, 1949."
ID_E_4,Gli impressionisti alla XXIV Biennale di Venezia,1948,1,1,1948,12,1,AFAA,Venise, [non précisé],45.4281163,12.3587578,"INHA, N9973.V5 PALL 1948","Gli impressionisti alla XXIV Biennale di Venezia, Venise, Edizioni Daria Guarnati, 1948."
ID_E_32,Paysages de France de l'impressionnisme à nos jours,1958,7,5,1958,9,21,simple,Rouen, Musée des Beaux-Arts,49.4447367,1.0945819,INHA 8°H 3386,"Paysages de France de l'impressionnisme à nos jours, [éditeur non précisé], 1958."
ID_E_31,Malarstwo Francuskie od Davida do Cézannéa / Peinture française de David à Cézanne,1956,6,15,1956,7,31,simple,Varsovie, Musée national de Varsovie,52.22977,21.01178,"INHA, P2 39 1956","Malarstwo Francuskie od Davida do Cézannéa / Peinture française de David à Cézanne, Varsovie, Woljskowe Zaklady Graficzne w Warszawie, 1956."
ID_E_31,Peinture française du XIXe siècle,1956,7,27,1956,8,24,AFAA,Moscou, Musée national des beaux-arts A. S. Pouschkine,55.747285,37.6054233,"INHA, Yd2 2516","Peinture française du XIXe siècle. A l'exposition sont représentés les tableaux des musées de France. Catalogue, Moscou, Édition d’État « L’Art », 1956."
ID_E_30,Exposition pour commémorer le cinquantenaire de la mort de Cézanne,1956,7,21,1956,8,15,simple,Aix-en-Provence, Pavillon de Vendôme,43.5311451,5.4420974,"INHA, 8 H 9678","Exposition pour commémorer le cinquantenaire de la mort de Cézanne, Aix-en-Provence, Imprimerie Makaire, 1956."
ID_E_3,De David à Cézanne,1947,11,1,1948,1,1,simple,Bruxelles, Palais des Beaux-Arts,50.8437182,4.3597904,"BnF, 8°V 79207","De David à Cézanne, Paris, Les Presses Artistiques, 1947."
ID_E_29,"French drawings. Masterpieces from Seven Centuries. A Loan Exhibition Organized by l'Association Française d'Action Artistique and Circulated by the Art Institute of Chicago, 1955-1956",1955,1,1,1956,1,1,AFAA,Minneapolis, Minneapolis Institute of Art,44.9585946,-93.2741526,"INHA, 4°H 3105","French drawings. Masterpieces from Seven Centuries. A Loan Exhibition Organized by l'Association Française d'Action Artistique and Circulated by the Art Institute of Chicago, 1955-1956, Chicago, Donnelley & Sons Company, 1955."
ID_E_29,French drawings. Masterpieces from Seven Centuries. A Loan Exhibition Organized by l'Association Française d'Action Artistique and Circulated by the Art Institute of Chicago,1955,1,1,1956,1,1,AFAA,Chicago, The Art Institute,41.8796009,-87.6230828,"INHA, 4°H 3105","French drawings. Masterpieces from Seven Centuries. A Loan Exhibition Organized by l'Association Française d'Action Artistique and Circulated by the Art Institute of Chicago, 1955-1956, Chicago, Donnelley & Sons Company, 1955."
ID_E_29,"French drawings. Masterpieces from Seven Centuries. A Loan Exhibition Organized by l'Association Française d'Action Artistique and Circulated by the Art Institute of Chicago, 1955-1956",1955,1,1,1956,1,1,AFAA,Detroit, The Detroit Institute of Arts,42.3595105,-83.0645259,"INHA, 4°H 3105","French drawings. Masterpieces from Seven Centuries. A Loan Exhibition Organized by l'Association Française d'Action Artistique and Circulated by the Art Institute of Chicago, 1955-1956, Chicago, Donnelley & Sons Company, 1955."
ID_E_29,"French drawings. Masterpieces from Seven Centuries. A Loan Exhibition Organized by l'Association Française d'Action Artistique and Circulated by the Art Institute of Chicago, 1955-1956",1955,1,1,1956,1,1,AFAA,San Francisco, The California Palace of the Legion of Honor,37.78465,-122.50081,"INHA, 4°H 3105","French drawings. Masterpieces from Seven Centuries. A Loan Exhibition Organized by l'Association Française d'Action Artistique and Circulated by the Art Institute of Chicago, 1955-1956, Chicago, Donnelley & Sons Company, 1955."
ID_E_28,Mostra di capolavori della pittura francese dell'Ottocento,1955,2,1,1955,3,1,simple,Rome, Palazzo delle Esposizioni,41.8996575,12.4900319,"Bibliothèque de l'INHA, 8 P 1955 0013","Mostra di capolavori della pittura francese dell'Ottocento, Rome, De Luca Editore, 1955."
ID_E_27,"An exhibition of paintings, engravings and sculpture. Gauguin. Organized with the Edinburgh festival society by the Arts Council of Great Britain",1955,9,30,1955,10,26,simple,London, Tate Gallery,51.5078947,-0.0996448,"INHA, 8 Pièce 16257","An exhibition of paintings, engravings and sculpture. Gauguin. Organized with the Edinburgh festival society by the Arts Council of Great Britain, Londres, Shenval Press, London Hertford and Harlow, 1955."
ID_E_26,Pérennité de l'art gaulois,1955,2,1,1955,3,1,simple,Paris, Musée pédagogique,48.8425186,2.3435374,"INHA, 8° A 1311","Pérennité de l'art gaulois, Paris, Imprimerie André Tournon et Cie, 1955."
ID_E_25,Picasso. Festival de Lyon-Charbonnières,1953,1,1,1953,12,31,simple,Lyon, Musée de Lyon,45.766606,4.834343,"INHA, 8°H 2785","Picasso. Festival de Lyon-Charbonnières, [éditeur non précisé], 1953."
ID_E_24,"Cézanne. Peintures, aquarelles, dessins",1953,1,1,1953,12,31,simple,Aix-en-Provence, Musée Granet,43.5254678,5.4526102,"BnF, 8 V 61655","Cézanne. Peintures, aquarelles, dessins, [éditeur non précisé], 1953."
ID_E_23,La femme dans l'art français,1953,3,1,1953,5,1,simple,Bruxelles, Palais des Beaux-Arts,50.8437182,4.3597904,"BnF, 8-Z-29753 (1953,2) ","La femme dans l'art français, [éditeur non précisé], 1953."
ID_E_22,Van Gogh's grote tijdgenoten,1953,1,1,1953,12,31,AFAA,Amsterdam, Stedelijk Museum,52.3579003,4.8798598,"BnF, YD2-2816-8 ","Van Gogh's grote tijdgenoten, Amsterdam, Meijer, Wormerveer em Amsterdam, 1953."
ID_E_22,Van Gogh's grote tijdgenoten,1953,1,1,1953,12,31,AFAA,Otterlo, Rijksmuseum Kröller-Müller,52.0959134,5.8178298,"BnF, YD2-2816-8 ","Van Gogh's grote tijdgenoten, Amsterdam, Meijer, Wormerveer em Amsterdam, 1953."
ID_E_21,Claude Monet 1840-1926,1952,5,10,1952,6,15,simple,Zurich, Kunsthaus,47.3702241,8.5479797,8 H 3639,"Claude Monet 1840-1926, [éditeur non précisé], 1952."
ID_E_20,"French Drawings. Masterpieces from Five Centuries, a loan exhibition organized by L'Association Française d'Action Artistique and circulated by the Smithsonian Institution, 1952-1953",1952,1,1,1953,1,1,simple,Washington D.C., National Gallery of Art,38.8913115,-77.0199045,"BnF, 4°V 18716","French Drawings. Masterpieces from Five Centuries, a loan exhibition organized by L'Association Française d'Action Artistique and circulated by the Smithsonian Institution, 1952-1953, New York, The Plantin Press, 1952."
ID_E_20,"French Drawings. Masterpieces from Five Centuries, a loan exhibition organized by L'Association Française d'Action Artistique and circulated by the Smithsonian Institution, 1952-1953",1952,1,1,1953,1,1,simple,Cleveland, The Cleveland Museum of Art,41.50922,-81.61179,"BnF, 4°V 18716","French Drawings. Masterpieces from Five Centuries, a loan exhibition organized by L'Association Française d'Action Artistique and circulated by the Smithsonian Institution, 1952-1953, New York, The Plantin Press, 1952."
ID_E_20,"French Drawings. Masterpieces from Five Centuries, a loan exhibition organized by L'Association Française d'Action Artistique and circulated by the Smithsonian Institution, 1952-1953",1952,1,1,1953,1,1,simple,St Louis, City Art Museum,38.62727,-90.19789,"BnF, 4°V 18716","French Drawings. Masterpieces from Five Centuries, a loan exhibition organized by L'Association Française d'Action Artistique and circulated by the Smithsonian Institution, 1952-1953, New York, The Plantin Press, 1952."
ID_E_20,"French Drawings. Masterpieces from Five Centuries, a loan exhibition organized by L'Association Française d'Action Artistique and circulated by the Smithsonian Institution, 1952-1953",1952,1,1,1953,1,1,simple,Cambridge," Fogg Art Museum, Harvard University",42.37843,-71.11644,"BnF, 4°V 18716","French Drawings. Masterpieces from Five Centuries, a loan exhibition organized by L'Association Française d'Action Artistique and circulated by the Smithsonian Institution, 1952-1953, New York, The Plantin Press, 1952."
