id_ville,ville,long,lat
1,Aix-en-Provence,5.454140,43.524910
2,Baden-Baden,8.228524,48.765640
3,Bâle,7.580610,47.559608
4,Besançon,6.025530,47.241268
5,Bruxelles,4.351710,50.850340
6,Caracas,-66.803719,10.469640
7,Londres,-0.127758,51.507351
8,Lyon,4.835659,45.764043
9,Nice,7.261953,43.710173
10,Paris,2.352222,48.856614
11,Rennes,-1.677793,48.117266
12,Rome,12.496365,41.902783
13,Varsovie,21.012229,52.229676
14,Venise,12.315515,45.440847
15,Zurich,8.539183,47.368650
16,Belle Fourche (Centre géographique des États-Unis),-103.855103,44.672501
